City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Hvittingfoss,NO,59.4833,10.0167,68.58,51,100,8.99,overcast clouds
249,Yamada,JP,39.4667,141.95,68.61,94,0,3.71,light rain
250,Saldanha,ZA,-33.0117,17.9442,56.95,92,0,7.74,clear sky
251,Tongzi,CN,28.7829,105.0877,75.63,96,100,3.78,overcast clouds
252,Bad Frankenhausen,DE,51.35,11.1,72.39,40,100,6.08,overcast clouds
253,Tuatapere,NZ,-46.1333,167.6833,54.86,62,73,12.73,light rain
254,Vestmannaeyjar,IS,63.4427,-20.2734,52.45,84,36,15.77,scattered clouds
255,Sorland,NO,67.667,12.6934,51.66,79,90,14.56,overcast clouds
256,Jacareacanga,BR,-6.2222,-57.7528,99.72,25,16,5.32,few clouds
257,Candido Mendes,BR,-1.4467,-45.7167,82.47,71,83,6.29,broken clouds
258,Kodiak,US,57.79,-152.4072,63.91,52,40,8.05,scattered clouds
259,Ambalavao,MG,-21.8333,46.9333,51.48,91,44,6.31,scattered clouds
260,Opuwo,NA,-18.0607,13.84,63.34,33,1,8.43,clear sky
261,Piacabucu,BR,-10.4056,-36.4344,77.32,70,10,8.72,clear sky
262,Geraldton,AU,-28.7667,114.6,54.01,94,75,9.22,broken clouds
263,Turayf,SA,31.6725,38.6637,88.23,21,0,13.0,clear sky
264,Wroclaw,PL,51.1,17.0333,66.02,52,0,3.44,clear sky
265,Warmbad,NA,-28.45,18.7333,65.93,27,0,12.46,clear sky
266,Antalaha,MG,-14.9003,50.2788,67.6,87,96,9.71,light rain
267,Botwood,CA,49.1499,-55.3482,82.9,36,93,14.25,overcast clouds
268,Mushie,CD,-3.0167,16.9,83.82,42,28,1.92,scattered clouds
269,Back Mountain,US,41.3359,-75.9963,85.32,61,100,5.97,overcast clouds
270,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,73,20,19.57,few clouds
271,Ilulissat,GL,69.2167,-51.1,51.82,58,20,9.22,few clouds
272,Rudnogorsk,RU,57.2639,103.7519,48.58,96,0,2.04,clear sky
273,Pangnirtung,CA,66.1451,-65.7125,50.68,67,48,3.51,scattered clouds
274,Prokopyevsk,RU,53.9059,86.719,54.77,76,1,1.36,clear sky
275,Thompson,CA,55.7435,-97.8558,80.76,50,40,9.22,scattered clouds
276,Lardos,GR,36.0942,28.0157,89.42,50,0,8.77,clear sky
277,La Romana,DO,18.4273,-68.9728,91.76,55,75,17.27,broken clouds
278,Victoria,HK,22.2855,114.1577,86.38,82,100,11.01,overcast clouds
279,Russell,US,32.3502,-85.1999,92.37,51,40,3.44,scattered clouds
280,Flin Flon,CA,54.7682,-101.865,82.74,34,89,9.66,overcast clouds
281,Constantine,DZ,36.365,6.6147,87.21,37,0,13.8,clear sky
282,Palmer,US,42.1584,-72.3287,89.78,40,40,8.05,scattered clouds
283,Sitka,US,57.0531,-135.33,55.29,88,100,6.91,moderate rain
284,Tamandare,BR,-8.7597,-35.1047,76.46,78,88,11.48,overcast clouds
285,Webuye,KE,0.6075,34.7697,60.85,89,63,2.26,light rain
286,Gafanha Da Encarnacao,PT,40.6181,-8.733,69.03,81,47,5.88,scattered clouds
287,Ghanzi,BW,-21.5667,21.7833,53.89,44,0,8.46,clear sky
288,Sinnamary,GF,5.3833,-52.95,81.97,72,69,4.03,broken clouds
289,Sulangan,PH,11.1373,123.7228,81.99,77,100,11.25,overcast clouds
290,Piney Green,US,34.716,-77.3202,91.18,66,20,8.05,few clouds
291,Matagami,CA,49.7502,-77.6328,83.75,29,95,5.06,overcast clouds
292,Cherskiy,RU,68.75,161.3,36.61,60,94,14.2,overcast clouds
293,Ulaanbaatar,MN,47.9077,106.8832,48.33,81,0,2.24,clear sky
294,Namatanai,PG,-3.6667,152.4333,79.03,79,33,8.86,scattered clouds
295,Hualmay,PE,-11.0964,-77.6139,66.43,70,15,10.38,few clouds
296,Sri Aman,MY,1.2376,111.4621,73.17,89,97,1.81,overcast clouds
297,Veraval,IN,20.9,70.3667,80.78,85,100,18.37,overcast clouds
298,Okhotsk,RU,59.3833,143.3,55.81,97,71,0.56,broken clouds
299,Kovdor,RU,67.5662,30.4758,56.48,82,69,3.62,broken clouds
300,Axim,GH,4.8699,-2.2405,75.04,79,37,9.71,scattered clouds
301,Rocha,UY,-34.4833,-54.3333,51.85,59,0,11.59,clear sky
302,Coahuayana,MX,18.7333,-103.6833,90.63,55,95,6.62,overcast clouds
303,Pingliang,CN,35.5392,106.6861,68.0,43,96,6.58,overcast clouds
304,Talara,PE,-4.5772,-81.2719,72.36,64,0,14.97,clear sky
305,Ukiah,US,39.1502,-123.2078,98.44,35,0,4.61,clear sky
306,Sohag,EG,26.557,31.6948,89.82,17,4,12.86,clear sky
307,Nouadhibou,MR,20.931,-17.0347,69.42,86,0,33.51,clear sky
308,Arkalgud,IN,12.765,76.0569,67.32,94,100,8.3,light rain
309,Westerland,DE,54.9079,8.3033,63.01,77,0,11.5,clear sky
310,Brae,GB,60.3964,-1.353,54.75,82,100,11.79,overcast clouds
311,Bacolod,PH,10.6667,122.95,76.78,89,100,5.93,very heavy rain
312,Inhapim,BR,-19.5492,-42.12,79.95,42,100,6.06,overcast clouds
313,Santa Luzia,BR,-19.7697,-43.8514,81.5,28,69,3.83,broken clouds
314,Hvolsvollur,IS,63.7533,-20.2243,56.71,73,55,5.57,broken clouds
315,Yulara,AU,-25.2406,130.9889,49.33,34,58,9.42,broken clouds
316,Lucapa,AO,-8.4192,20.7447,76.82,27,100,1.43,overcast clouds
317,Villamontes,BO,-21.25,-63.5,68.67,30,4,5.14,clear sky
318,Matay,EG,28.419,30.7792,88.5,24,0,8.32,clear sky
319,Agadez,NE,19.75,10.25,94.23,19,12,6.87,few clouds
320,Pyshma,RU,56.9523,63.2513,61.2,94,100,4.56,overcast clouds
321,Ostersund,SE,63.1792,14.6357,54.61,87,100,13.0,light rain
322,Constitucion,CL,-35.3333,-72.4167,49.41,92,100,10.87,moderate rain
323,Itapirapua,BR,-15.8233,-50.6133,95.97,14,0,6.71,clear sky
324,Fortuna,US,40.5982,-124.1573,60.98,75,12,9.6,few clouds
325,San Cristobal,VE,7.7669,-72.225,84.38,51,75,7.34,broken clouds
326,Bafoulabe,ML,13.8065,-10.8321,92.64,50,95,6.42,overcast clouds
327,Diffa,NE,13.3154,12.6113,75.96,77,56,16.31,broken clouds
328,Lewistown,US,40.5992,-77.5714,84.15,88,20,5.75,few clouds
329,Freeport,US,40.6576,-73.5832,86.31,62,20,10.36,few clouds
330,Wagga Wagga,AU,-35.1167,147.3667,43.84,93,40,9.22,scattered clouds
331,Tual,ID,-5.6667,132.75,78.64,78,45,19.89,scattered clouds
332,Lydenburg,ZA,-25.0978,30.4597,47.39,81,0,2.59,clear sky
333,Massaguet,TD,12.4755,15.4365,76.69,74,100,13.33,overcast clouds
334,Kenosha,US,42.5667,-88.0501,80.47,71,0,10.36,clear sky
335,Taybad,IR,34.74,60.7756,86.52,11,0,18.79,clear sky
336,Novopavlovka,RU,51.2172,109.2091,54.37,79,51,1.74,broken clouds
337,Alofi,NU,-19.0595,-169.9187,77.43,73,0,24.52,clear sky
338,Ixtapa,MX,20.7,-105.2,86.23,66,75,3.0,broken clouds
339,Merauke,ID,-8.4667,140.3333,75.29,89,100,9.44,overcast clouds
340,San Patricio,US,28.017,-97.5169,98.19,35,23,15.57,few clouds
341,Rorvik,NO,64.8621,11.2373,55.38,82,75,17.27,broken clouds
342,Abu Samrah,SY,35.3029,37.1841,82.2,41,0,12.93,clear sky
343,Nishihara,JP,26.1842,127.7558,82.45,94,75,12.66,light intensity shower rain
344,Sokoni,TZ,-6.4333,39.55,76.01,79,77,17.11,light rain
345,Narsingi,IN,18.0333,78.4333,71.96,97,100,10.51,overcast clouds
346,Vanavara,RU,60.34,102.2797,55.24,82,98,0.94,overcast clouds
